classifier__C,classifier__kernel,classifier__gamma,mean_cv_score,std_cv_score,rank
1.0,linear,,0.6974220570849188,0.04116558634753362,1
100.0,linear,,0.6970966385239952,0.04038808440269928,2
10.0,linear,,0.695931838458067,0.039252561533813526,3
10.0,rbf,0.001,0.6951017183780334,0.04261480305747703,4
0.1,linear,,0.694776701310206,0.04705854541331163,5
1.0,rbf,0.01,0.6945696300150537,0.03622064562566704,6
100.0,rbf,0.001,0.6927604593770309,0.04683451541731001,7
1.0,rbf,0.001,0.6724459835126904,0.03264804655648012,8
10.0,rbf,0.01,0.6664477504039289,0.032937328266292976,9
0.1,rbf,0.01,0.6599949940142904,0.040191744957428645,10
0.1,rbf,scale,0.6532254805545941,0.032511046126254065,11
0.1,rbf,0.1,0.6440769943521631,0.03599603314373582,12
1.0,rbf,scale,0.6384674957615041,0.03158701059983047,13
1.0,rbf,0.1,0.6384655497513116,0.030064328802355388,14
100.0,rbf,0.01,0.6298252720527324,0.031108633972847913,15
10.0,rbf,scale,0.6080121917156747,0.03464028143987075,16
10.0,rbf,0.1,0.5771182305441757,0.04093746680029252,17
100.0,rbf,0.1,0.565407402654672,0.034819910890626395,18
100.0,rbf,scale,0.5601770695150481,0.02927136943720011,19
10.0,rbf,1,0.39461875062399576,0.03626085705771603,20
100.0,rbf,1,0.39461875062399576,0.03626085705771603,20
1.0,rbf,1,0.3653304752769403,0.026879038299013974,22
0.1,rbf,0.001,0.29775794608586675,0.03729042673893012,23
0.1,rbf,1,0.17007038190838814,0.0022609804940885454,24
